CONTENT_ID,VIEW_URL,PLATFORM,HUMAN_REVIEW_MULTIMODAL,Label
1-f2uV80dno,https://www.youtube.com/watch?v=1-f2uV80dno,YT,NO DAT ANY MODALITY,0
1saR6Oe3kIQ,https://www.youtube.com/watch?v=1saR6Oe3kIQ,YT,MULTIMODAL DAT Positive,1
2frX-gfGCtU,https://www.youtube.com/watch?v=2frX-gfGCtU,YT,MULTIMODAL DAT Positive,1
35XsK9VERXM,https://www.youtube.com/watch?v=35XsK9VERXM,YT,NO DAT ANY MODALITY,0
3_rIx-jEhsQ,https://www.youtube.com/watch?v=3_rIx-jEhsQ,YT,MULTIMODAL DAT Positive,1
4fOZ-r8gPtY,https://www.youtube.com/watch?v=4fOZ-r8gPtY,YT,MULTIMODAL DAT Positive,1
7009631602019994885,https://www.tiktok.com/@data/video/7009631602019994885,TT,NO DAT ANY MODALITY,0
7041113439359470849,https://www.tiktok.com/@data/video/7041113439359470849,TT,MULTIMODAL DAT Positive,1
7071285278731734315,https://www.tiktok.com/@data/video/7071285278731734315,TT,NO DAT ANY MODALITY,0
7112424102920506630,https://www.tiktok.com/@data/video/7112424102920506630,TT,NO DAT ANY MODALITY,0
7119907785223179566,https://www.tiktok.com/@data/video/7119907785223179566,TT,NO DAT ANY MODALITY,0
7184453002877488426,https://www.tiktok.com/@data/video/7184453002877488426,TT,MULTIMODAL DAT Positive,1
7209714611875040517,https://www.tiktok.com/@data/video/7209714611875040517,TT,MULTIMODAL DAT Positive,1
7235779612301724933,https://www.tiktok.com/@data/video/7235779612301724933,TT,MULTIMODAL DAT Positive,1
7251307063026928902,https://www.tiktok.com/@data/video/7251307063026928902,TT,MULTIMODAL DAT Positive,1
7257847932085488897,https://www.tiktok.com/@data/video/7257847932085488897,TT,MULTIMODAL DAT Positive,1
7276726806894480645,https://www.tiktok.com/@data/video/7276726806894480645,TT,MULTIMODAL DAT Positive,1
7278369283556625669,https://www.tiktok.com/@data/video/7278369283556625669,TT,MULTIMODAL DAT Positive,1
7296568709907270917,https://www.tiktok.com/@data/video/7296568709907270917,TT,MULTIMODAL DAT Positive,1
7297281350355258657,https://www.tiktok.com/@data/video/7297281350355258657,TT,MULTIMODAL DAT Positive,1
7317320396456447237,https://www.tiktok.com/@data/video/7317320396456447237,TT,NO DAT ANY MODALITY,0
7331297072454389010,https://www.tiktok.com/@data/video/7331297072454389010,TT,NO DAT ANY MODALITY,0
7336258171700382984,https://www.tiktok.com/@data/video/7336258171700382984,TT,NO DAT ANY MODALITY,0
7337855001198349574,https://www.tiktok.com/@data/video/7337855001198349574,TT,CV ONLY DAT Positive,1
7340281226231696672,https://www.tiktok.com/@data/video/7340281226231696672,TT,NO DAT ANY MODALITY,0
7341049528272866590,https://www.tiktok.com/@data/video/7341049528272866590,TT,NO DAT ANY MODALITY,0
7341311191718907168,https://www.tiktok.com/@data/video/7341311191718907168,TT,NO DAT ANY MODALITY,0
7342855509957004551,https://www.tiktok.com/@data/video/7342855509957004551,TT,NO DAT ANY MODALITY,0
7343291344099478790,https://www.tiktok.com/@data/video/7343291344099478790,TT,NO DAT ANY MODALITY,0
7344352779000909089,https://www.tiktok.com/@data/video/7344352779000909089,TT,NO DAT ANY MODALITY,0
7348909648617032965,https://www.tiktok.com/@data/video/7348909648617032965,TT,MULTIMODAL DAT Positive,1
7392383818168159494,https://www.tiktok.com/@data/video/7392383818168159494,TT,MULTIMODAL DAT Positive,1
7409659702440627461,https://www.tiktok.com/@data/video/7409659702440627461,TT,MULTIMODAL DAT Positive,1
